raw_fact_id,layer,variant,metric_name,fiscal_year,period_start,period_end,period_type,period_grain,statement,original_value,original_units,normalization_multiplier,source_id,source_reference,source_type,comparability_status,notes
PF-0011,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,revenue,FY2023,2022-11-01,2023-10-31,duration,annual,pro_forma_income_statement,1954950,USD_thousands,1,SRC-008,"Unaudited pro forma combined income statement, year ended October 31, 2023, p. 4",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0012,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,cost_of_sales_excluding_depreciation_and_amortization,FY2023,2022-11-01,2023-10-31,duration,annual,pro_forma_income_statement,-1443961,USD_thousands,1,SRC-008,"Unaudited pro forma combined income statement, year ended October 31, 2023, p. 4",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0013,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,selling_general_and_administrative,FY2023,2022-11-01,2023-10-31,duration,annual,pro_forma_income_statement,-299477,USD_thousands,1,SRC-008,"Unaudited pro forma combined income statement, year ended October 31, 2023, p. 4",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0014,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,depreciation_and_amortization,FY2023,2022-11-01,2023-10-31,duration,annual,pro_forma_income_statement,-87569,USD_thousands,1,SRC-008,"Unaudited pro forma combined income statement, year ended October 31, 2023, p. 4",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0015,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,operating_income,FY2023,2022-11-01,2023-10-31,duration,annual,pro_forma_income_statement,123943,USD_thousands,1,SRC-008,"Unaudited pro forma combined income statement, year ended October 31, 2023, p. 4",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0016,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,interest_expense,FY2023,2022-11-01,2023-10-31,duration,annual,pro_forma_income_statement,-66556,USD_thousands,1,SRC-008,"Unaudited pro forma combined income statement, year ended October 31, 2023, p. 4",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0017,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,other_net,FY2023,2022-11-01,2023-10-31,duration,annual,pro_forma_income_statement,-881,USD_thousands,1,SRC-008,"Unaudited pro forma combined income statement, year ended October 31, 2023, p. 4",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0018,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,income_before_income_taxes,FY2023,2022-11-01,2023-10-31,duration,annual,pro_forma_income_statement,56506,USD_thousands,1,SRC-008,"Unaudited pro forma combined income statement, year ended October 31, 2023, p. 4",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0019,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,income_tax_expense,FY2023,2022-11-01,2023-10-31,duration,annual,pro_forma_income_statement,-8049,USD_thousands,1,SRC-008,"Unaudited pro forma combined income statement, year ended October 31, 2023, p. 4",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0020,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,net_income,FY2023,2022-11-01,2023-10-31,duration,annual,pro_forma_income_statement,48457,USD_thousands,1,SRC-008,"Unaudited pro forma combined income statement, year ended October 31, 2023, p. 4",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0021,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,cash_and_cash_equivalents,PF_2024-07-31,,2024-07-31,instant,instant,pro_forma_balance_sheet,184613,USD_thousands,1,SRC-008,"Unaudited pro forma combined balance sheet as of July 31, 2024, pp. 5-6",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0022,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,restricted_cash,PF_2024-07-31,,2024-07-31,instant,instant,pro_forma_balance_sheet,5058,USD_thousands,1,SRC-008,"Unaudited pro forma combined balance sheet as of July 31, 2024, pp. 5-6",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0023,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,accounts_receivable,PF_2024-07-31,,2024-07-31,instant,instant,pro_forma_balance_sheet,191793,USD_thousands,1,SRC-008,"Unaudited pro forma combined balance sheet as of July 31, 2024, pp. 5-6",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0024,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,inventory,PF_2024-07-31,,2024-07-31,instant,instant,pro_forma_balance_sheet,305544,USD_thousands,1,SRC-008,"Unaudited pro forma combined balance sheet as of July 31, 2024, pp. 5-6",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0025,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,income_taxes_receivable,PF_2024-07-31,,2024-07-31,instant,instant,pro_forma_balance_sheet,6055,USD_thousands,1,SRC-008,"Unaudited pro forma combined balance sheet as of July 31, 2024, pp. 5-6",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0026,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,prepaid_and_other_current_assets,PF_2024-07-31,,2024-07-31,instant,instant,pro_forma_balance_sheet,37466,USD_thousands,1,SRC-008,"Unaudited pro forma combined balance sheet as of July 31, 2024, pp. 5-6",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0027,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,current_assets,PF_2024-07-31,,2024-07-31,instant,instant,pro_forma_balance_sheet,730529,USD_thousands,1,SRC-008,"Unaudited pro forma combined balance sheet as of July 31, 2024, pp. 5-6",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0028,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,property_plant_and_equipment_net,PF_2024-07-31,,2024-07-31,instant,instant,pro_forma_balance_sheet,401305,USD_thousands,1,SRC-008,"Unaudited pro forma combined balance sheet as of July 31, 2024, pp. 5-6",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0029,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,operating_lease_right_of_use_assets,PF_2024-07-31,,2024-07-31,instant,instant,pro_forma_balance_sheet,137057,USD_thousands,1,SRC-008,"Unaudited pro forma combined balance sheet as of July 31, 2024, pp. 5-6",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0030,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,goodwill,PF_2024-07-31,,2024-07-31,instant,instant,pro_forma_balance_sheet,566546,USD_thousands,1,SRC-008,"Unaudited pro forma combined balance sheet as of July 31, 2024, pp. 5-6",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0031,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,intangible_assets_net,PF_2024-07-31,,2024-07-31,instant,instant,pro_forma_balance_sheet,598922,USD_thousands,1,SRC-008,"Unaudited pro forma combined balance sheet as of July 31, 2024, pp. 5-6",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0032,company_disclosed_pro_forma,2024-12-16_fy2024_10K_summary,revenue,FY2024,2023-11-01,2024-10-31,duration,annual,pro_forma_results_summary,1886834,USD_thousands,1,SRC-012,"FY2024 Form 10-K Note 2, Pro Forma Results, p. 55",SEC_10-K_pro_forma_note,unaudited_company_pro_forma_tyman_and_lmi_combination,Summary pro forma disclosure; detailed components are not provided for this period.
PF-0033,company_disclosed_pro_forma,2024-12-16_fy2024_10K_summary,net_income,FY2024,2023-11-01,2024-10-31,duration,annual,pro_forma_results_summary,66037,USD_thousands,1,SRC-012,"FY2024 Form 10-K Note 2, Pro Forma Results, p. 55",SEC_10-K_pro_forma_note,unaudited_company_pro_forma_tyman_and_lmi_combination,Summary pro forma disclosure; detailed components are not provided for this period.
PF-0034,company_disclosed_pro_forma,2024-12-16_fy2024_10K_summary,revenue,FY2023,2022-11-01,2023-10-31,duration,annual,pro_forma_results_summary,1954950,USD_thousands,1,SRC-012,"FY2024 Form 10-K Note 2, Pro Forma Results, p. 55",SEC_10-K_pro_forma_note,unaudited_company_pro_forma_tyman_and_lmi_combination,Summary pro forma disclosure; detailed components are not provided for this period.
PF-0035,company_disclosed_pro_forma,2024-12-16_fy2024_10K_summary,net_income,FY2023,2022-11-01,2023-10-31,duration,annual,pro_forma_results_summary,48458,USD_thousands,1,SRC-012,"FY2024 Form 10-K Note 2, Pro Forma Results, p. 55",SEC_10-K_pro_forma_note,unaudited_company_pro_forma_tyman_and_lmi_combination,Later 10-K summary controls for its presentation; the earlier exhibit remains separately preserved.
PF-0036,company_disclosed_pro_forma,2024-12-16_fy2024_10K_summary,revenue,FY2022,2021-11-01,2022-10-31,duration,annual,pro_forma_results_summary,2115987,USD_thousands,1,SRC-012,"FY2024 Form 10-K Note 2, Pro Forma Results, p. 55",SEC_10-K_pro_forma_note,unaudited_company_pro_forma_tyman_and_lmi_combination,Summary pro forma disclosure; detailed components are not provided for this period.
PF-0037,company_disclosed_pro_forma,2024-12-16_fy2024_10K_summary,net_income,FY2022,2021-11-01,2022-10-31,duration,annual,pro_forma_results_summary,60192,USD_thousands,1,SRC-012,"FY2024 Form 10-K Note 2, Pro Forma Results, p. 55",SEC_10-K_pro_forma_note,unaudited_company_pro_forma_tyman_and_lmi_combination,Summary pro forma disclosure; detailed components are not provided for this period.
